"","CountryCode","Ranking","Economy","US Dollars (millions)"
"84","LTU",84,"Lithuania",42344
"85","ETH",85,"Ethiopia",41605
"86","GHA",86,"Ghana",40711
"87","KEN",87,"Kenya",40697
"88","SRB",88,"Serbia",37489
"89","PAN",89,"Panama",36253
"90","YEM",90,"Yemen, Rep.",35646
"91","TKM",91,"Turkmenistan",35164
"92","JOR",92,"Jordan",31015
"93","BHR",93,"Bahrain",29044
"94","LVA",94,"Latvia",28373
"95","TZA",95,"Tanzania",28242
"96","BOL",96,"Bolivia",27035
"97","PRY",97,"Paraguay",25502
"98","CMR",98,"Cameroon",25322
"99","CIV",99,"Côte d'Ivoire",24680
"100","SLV",100,"El Salvador",23864
"101","TTO",101,"Trinidad and Tobago",23320
"102","CYP",102,"Cyprus",22767
"103","EST",103,"Estonia",22390
"104","ZMB",104,"Zambia",20678
"105","AFG",105,"Afghanistan",20497
"106","UGA",106,"Uganda",19881
"107","NPL",107,"Nepal",18963
"108","HND",108,"Honduras",18434
"109","GAB",109,"Gabon",18377
"110","GNQ",110,"Equatorial Guinea",17697
"111","BIH",111,"Bosnia and Herzegovina",17466
"112","ZAR",112,"Congo, Dem. Rep.",17204
"113","BRN",113,"Brunei Darussalam",16954
"114","GEO",114,"Georgia",15747
"115","PNG",115,"Papua New Guinea",15654
"116","JAM",116,"Jamaica",14755
"117","BWA",117,"Botswana",14504
"118","MOZ",118,"Mozambique",14244
"119","SEN",119,"Senegal",14046
"120","KHM",120,"Cambodia",14038
"121","COG",121,"Congo, Rep.",13678
"122","ISL",122,"Iceland",13579
"123","NAM",123,"Namibia",13072
"124","TCD",124,"Chad",12887
"125","ALB",125,"Albania",12648
"126","NIC",126,"Nicaragua",10507
"127","MUS",127,"Mauritius",10486
"128","BFA",128,"Burkina Faso",10441
"129","MLI",129,"Mali",10308
"130","MNG",130,"Mongolia",10271
"131","SSD",131,"South Sudan",10220
"132","MDG",132,"Madagascar",9975
"133","ARM",133,"Armenia",9951
"134","ZWE",134,"Zimbabwe",9802
"135","MKD",135,"Macedonia, FYR",9613
"136","LAO",136,"Lao PDR",9418
"137","MLT",137,"Malta",8722
"138","BHS",138,"Bahamas, The",8149
"139","HTI",139,"Haiti",7843
"140","BEN",140,"Benin",7557
"141","MDA",141,"Moldova",7253
"142","RWA",142,"Rwanda",7103
"143","TJK",143,"Tajikistan",6972
"144","NER",144,"Niger",6773
"145","KGZ",145,"Kyrgyz Republic",6475
"146","KSV",146,"Kosovo",6445
"147","MCO",147,"Monaco",6075
"148","GIN",148,"Guinea",5632
"149","BMU",149,"Bermuda",5474
"150","SUR",150,"Suriname",5012
"151","MNE",151,"Montenegro",4373
"152","MWI",152,"Malawi",4264
"153","BRB",153,"Barbados",4225
"154","MRT",154,"Mauritania",4199
"155","FJI",155,"Fiji",3908
"156","TGO",156,"Togo",3814
"157","SLE",157,"Sierra Leone",3796
"158","SWZ",158,"Swaziland",3744
"159","ERI",159,"Eritrea",3092
"160","GUY",160,"Guyana",2851
"161","ABW",161,"Aruba",2584
"162","BDI",162,"Burundi",2472
"163","LSO",163,"Lesotho",2448
"164","MDV",164,"Maldives",2222
"165","CAF",165,"Central African Republic",2184
"166","CPV",166,"Cape Verde",1827
"167","BTN",167,"Bhutan",1780
"168","LBR",168,"Liberia",1734
"169","BLZ",169,"Belize",1493
"170","TMP",170,"Timor-Leste",1293
"171","LCA",171,"St. Lucia",1239
"172","ATG",172,"Antigua and Barbuda",1134
"173","SYC",173,"Seychelles",1129
"174","SLB",174,"Solomon Islands",1008
"175","GMB",175,"Gambia, The",917
"176","GNB",176,"Guinea-Bissau",822
"177","VUT",177,"Vanuatu",787
"178","GRD",178,"Grenada",767
"179","KNA",178,"St. Kitts and Nevis",767
"180","VCT",180,"St. Vincent and the Grenadines",713
"181","WSM",181,"Samoa",684
"182","COM",182,"Comoros",596
"183","DMA",183,"Dominica",480
"184","TON",184,"Tonga",472
"185","FSM",185,"Micronesia, Fed. Sts.",326
"186","STP",186,"São Tomé and Principe",263
"187","PLW",187,"Palau",228
"188","MHL",188,"Marshall Islands",182
"189","KIR",189,"Kiribati",175
"190","TUV",190,"Tuvalu",40
